gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	projectTitle	projectID	fundingAttribution	fundingAttributionID	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1660907819					09/06/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005823	005823		Yolanda Ester Davies																																																																	Argentina		Mendoza	Santa Rosa		Las Catitas																																																								11/20/80												Sicalis luteola luteiventris								Animalia	Chordata	Aves	Passeriformes		Thraupidae				Sicalis				luteola	subspecies		luteiventris							
1660907818					09/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005760	005760		Yolanda Ester Davies																																																																	Argentina		Mendoza	Capital		Capital																																																								7/10/80												Passeriformes								Animalia	Chordata	Aves	Passeriformes		Emberizidae				Zonotrichia				capensis										
1660907817					23/04/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005506	005506		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								11/16/60												Buteogallus urubitinga								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Buteogallus				urubitinga			N/A							
1660907816					04/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005570	005570		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								3/12/62												Butorides striatus								Animalia	Chordata	Aves	Pelecaniformes		Ardeidae				Butorides				striatus			N/A							
1660907815					30/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005572	005572		S. Ortiz																																																																	Argentina		Mendoza	Luján de Cuyo		Dique El Carrizal, Costa oeste																																																								9/3/74												Phalacrocorax olivaceus								Animalia	Chordata	Aves	Suliformes		Phalacrocoracidae				Phalacrocorax				olivaceus			N/A							
1660907814					23/04/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005434	005434		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								9/15/58												Buteogallus urubitinga								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Buteogallus				urubitinga			N/A							
1660907813					17/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005549	005549		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								5/20/62												Falco sparverius								Animalia	Chordata	Aves	Falconiformes		Falconidae				Falco				sparverius			N/A							
1660907812					19/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005711	005711		Ana Fernández																																																																	Argentina		Mendoza	Guaymallén		La Primavera																																																								9/22/79												Troglodytes aedon								Animalia	Chordata	Aves	Passeriformes		Troglodytidae				Troglodytes				aedon			N/A							
1660907811					24/04/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005749	005749		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								1/4/57												Geranospiza caerulescens								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Geranospiza				caerulescens			N/A							
1660907810					27/04/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005873	005873		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								6/2/60												Rosthramus sociabilis								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Rosthramus				sociabilis			N/A							
